model,train_ratio,ratio_label,strategy,best_val_top1,test_top1_acc,test_macro_f1,transfer_gain_vs_scratch,train_seconds,trainable_params,total_params,output_dir
resnet18,0.1,010pct,from_scratch,0.6897145669291339,0.6802274716182017,0.6687535048472955,0.0,231.0390575,11181642,11181642,outputs/experiment_4_3_resnet18/010pct/from_scratch
resnet18,0.1,010pct,linear_probe,0.7788440505350669,0.7620297463860098,0.7550703444341959,0.0818022747678081,159.025698083,5130,11181642,outputs/experiment_4_3_resnet18/010pct/linear_probe
resnet18,0.1,010pct,full_finetune,0.9399606299212598,0.9357775590551181,0.9350984110502054,0.2555500874369163,280.258637041,11181642,11181642,outputs/experiment_4_3_resnet18/010pct/full_finetune
resnet18,0.3,030pct,from_scratch,0.838637357621681,0.8283027119523897,0.8229078616615245,0.0,639.767326125,11181642,11181642,outputs/experiment_4_3_resnet18/030pct/from_scratch
resnet18,0.3,030pct,linear_probe,0.8689031056531771,0.8509951881536348,0.8480923095490484,0.02269247620124515,263.702574208,5130,11181642,outputs/experiment_4_3_resnet18/030pct/linear_probe
resnet18,0.3,030pct,full_finetune,0.968996062992126,0.9665354330708661,0.9652469471839276,0.1382327211184764,549.4292963750001,11181642,11181642,outputs/experiment_4_3_resnet18/030pct/full_finetune
resnet18,0.6,060pct,from_scratch,0.8947944007520601,0.8946030182162608,0.8889097955940908,0.0,1018.0110864169997,11181642,11181642,outputs/experiment_4_3_resnet18/060pct/from_scratch
resnet18,0.6,060pct,linear_probe,0.8912948379366417,0.8699420385473356,0.8666954894665914,-0.02466097966892511,403.72089645799997,5130,11181642,outputs/experiment_4_3_resnet18/060pct/linear_probe
resnet18,0.6,060pct,full_finetune,0.9707185039370079,0.96875,0.967813525279654,0.07414698178373924,948.649035083,11181642,11181642,outputs/experiment_4_3_resnet18/060pct/full_finetune
resnet18,1.0,100pct,from_scratch,0.9003444881889764,0.8939468503937008,0.8923524338498788,0.0,1518.540717375,11181642,11181642,outputs/experiment_4_3_resnet18/100pct/from_scratch
resnet18,1.0,100pct,linear_probe,0.8984306647082952,0.879292432248123,0.8771005700991715,-0.014654418145577774,569.2672947909996,5130,11181642,outputs/experiment_4_3_resnet18/100pct/linear_probe
resnet18,1.0,100pct,full_finetune,0.9751476377952756,0.9714566929133859,0.9704328334132029,0.07750984251968507,1509.625609874999,11181642,11181642,outputs/experiment_4_3_resnet18/100pct/full_finetune
