model,ratio_label,train_ratio,strategy,imagenet_top1_before,imagenet_macro_f1_before,imagenet_top1_after,imagenet_macro_f1_after,forgetting_top1,forgetting_macro_f1,eurosat_test_top1,eurosat_test_macro_f1,transfer_gain_vs_scratch,checkpoint
resnet18,010pct,0.1,from_scratch,0.6976,0.6929819606801421,0.00116,0.0002068751672178082,0.69644,0.6927750855129242,0.6802274716182017,0.6687535048472955,0.0,outputs/experiment_4_3_resnet18/010pct/from_scratch/best.pt
resnet18,010pct,0.1,linear_probe,0.6976,0.6929819606801421,0.32496,0.3450868096843629,0.37263999999999997,0.34789515099577917,0.7620297463860098,0.7550703444341959,0.0818022747678081,outputs/experiment_4_3_resnet18/010pct/linear_probe/best.pt
resnet18,010pct,0.1,full_finetune,0.6976,0.6929819606801421,0.0124,0.008731112183489178,0.6852,0.6842508484966529,0.9357775590551181,0.9350984110502054,0.2555500874369163,outputs/experiment_4_3_resnet18/010pct/full_finetune/best.pt
resnet18,030pct,0.3,from_scratch,0.6976,0.6929819606801421,0.00076,5.995945926780387e-05,0.69684,0.6929220012208742,0.8283027119523897,0.8229078616615245,0.0,outputs/experiment_4_3_resnet18/030pct/from_scratch/best.pt
resnet18,030pct,0.3,linear_probe,0.6976,0.6929819606801421,0.32114,0.3385136606815127,0.37646,0.3544682999986294,0.8509951881536348,0.8480923095490484,0.02269247620124515,outputs/experiment_4_3_resnet18/030pct/linear_probe/best.pt
resnet18,030pct,0.3,full_finetune,0.6976,0.6929819606801421,0.00248,0.001092281576584035,0.69512,0.691889679103558,0.9665354330708661,0.9652469471839276,0.1382327211184764,outputs/experiment_4_3_resnet18/030pct/full_finetune/best.pt
resnet18,060pct,0.6,from_scratch,0.6976,0.6929819606801421,0.00128,8.171678052859438e-05,0.69632,0.6929002438996135,0.8946030182162608,0.8889097955940908,0.0,outputs/experiment_4_3_resnet18/060pct/from_scratch/best.pt
resnet18,060pct,0.6,linear_probe,0.6976,0.6929819606801421,0.31616,0.33431064674330874,0.38144,0.3586713139368333,0.8699420385473356,0.8666954894665914,-0.02466097966892511,outputs/experiment_4_3_resnet18/060pct/linear_probe/best.pt
resnet18,060pct,0.6,full_finetune,0.6976,0.6929819606801421,0.00246,0.0008282256846128755,0.69514,0.6921537349955292,0.96875,0.967813525279654,0.07414698178373924,outputs/experiment_4_3_resnet18/060pct/full_finetune/best.pt
resnet18,100pct,1.0,from_scratch,0.6976,0.6929819606801421,0.00086,8.469804418692474e-05,0.69674,0.6928972626359552,0.8939468503937008,0.8923524338498788,0.0,outputs/experiment_4_3_resnet18/100pct/from_scratch/best.pt
resnet18,100pct,1.0,linear_probe,0.6976,0.6929819606801421,0.32128,0.3389717651260985,0.37632,0.35401019555404356,0.879292432248123,0.8771005700991715,-0.014654418145577774,outputs/experiment_4_3_resnet18/100pct/linear_probe/best.pt
resnet18,100pct,1.0,full_finetune,0.6976,0.6929819606801421,0.00204,0.0005974747465818334,0.69556,0.6923844859335603,0.9714566929133859,0.9704328334132029,0.07750984251968507,outputs/experiment_4_3_resnet18/100pct/full_finetune/best.pt
